pid,season,name,min,value,box,pm,pir40
P008003,E2017,"ROBINSON, THOMAS",286.25,5.324303630096613,6.869629071895149,-1.5453254417985363,20.42428133633166
P008004,E2017,"TARCZEWSKI, KALEB",592.54,5.049248979980713,6.871384519237894,-1.8221355392571812,20.054984067574587
P008014,E2017,"THOMPSON, HOLLIS",423.13,0.45048894105250636,-0.6629311095143069,1.1134200505668133,13.703818680171477
P008015,E2017,"MASHOUR, KARAM",40.86,-1.3680043602148277,-0.30670239302041613,-1.0613019671944117,13.40961711030884
P008032,E2017,"GONZALEZ, MIGUEL",7.9,-0.6998187511949457,-0.6001783709399775,-0.09964038025496824,16.393685506562587
P008038,E2017,"RANDLE, CHASSON",174.57,-2.4866723671928384,-1.2542556705062906,-1.2324166966865475,12.123970813119072
P008041,E2017,"HLINASON, TRYGGVI",89.33,2.782139272125982,2.9408421623649774,-0.15870289023899536,18.427500481477335
P008042,E2017,"EDIGIN, EDDY",1.13,-0.2847506428383828,-0.29292851687547183,0.008177874037089035,16.700075804984706
P008049,E2017,"WRIGHT, DORELL",695.83,4.217191284759937,3.7966112843287774,0.42058000043115956,19.56307083944825
P008052,E2017,"WILTJER, KYLE",231.51999999999998,1.4656379065747727,0.9812661922895174,0.4843717142852554,14.746858910949879
P008062,E2017,"MCDOWELL-WHITE, WILLIAM",2.32,0.6438200680018177,0.6832402015568573,-0.03942013355503959,18.06957257777662
P008066,E2017,"ENNIS, DYLAN",234.0,-4.052072627097707,-3.0491333930168376,-1.0029392340808694,15.834966066341627
P008152,E2017,"DOUGLAS, TONEY",244.05,-1.7613510456269759,-1.368889626781951,-0.3924614188450248,15.837461607784054
P008348,E2017,"PAYNE, ADREIAN",118.91,0.9112828428581198,0.5903878128047039,0.3208950300534159,17.033843434096678
PAAX,E2017,"REYES, FELIPE",543.61,7.236323118028507,6.31998803249027,0.9163350855382361,26.303007514112743
PABN,E2017,"ZISIS, NIKOS",604.36,-4.957018852266939,-3.7309323694181016,-1.2260864828488383,12.960529652674914
PADI,E2017,"NAVARRO, JUAN CARLOS",342.53,-8.126310457829886,-7.418902381065817,-0.7074080767640687,15.024695876343081
PAGP,E2017,"UDRIH, BENO",195.82999999999998,-2.4579436150733454,-2.9406431614884423,0.4826995464150967,12.740015097042573
PAMM,E2017,"PRINTEZIS, GEORGIOS",716.55,1.0521814767403042,0.6175184496440754,0.4346630270962287,20.8791606958032
PBAE,E2017,"ANTIC, PERO",327.08,1.450678005632906,-0.8323438978314344,2.2830219034643404,14.53797570983915
PBCQ,E2017,"KHRYAPA, VICTOR",105.27,2.219256395207168,0.9729456788302173,1.2463107163769505,12.904363356350679
PBCV,E2017,"DELFINO, CARLOS",10.0,-1.9080503940670253,-1.6980840855403407,-0.2099663085266846,15.717078783255484
PBFX,E2017,"MONIA, SERGEY",382.61,-3.7029347690365713,-2.4645264971367937,-1.2384082718997775,10.793142840301908
PBGV,E2017,"VIALTSEV, EGOR",342.74,-1.8945752853492968,-2.3070941280977593,0.4125188427484624,11.674749663816469
PBMT,E2017,"FERNANDEZ, RUDY",599.88,-0.5425439225402255,0.20190455656267442,-0.7444484791029,18.358688155338207
